Entity,Year,Access to electricity (% of population),Access to clean fuels for cooking,Renewable-electricity-generating-capacity-per-capita,Financial flows to developing countries (US $),Renewable energy share in the total final energy consumption (%),Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Low-carbon electricity (% electricity),Primary energy consumption per capita (kWh/person),Energy intensity level of primary energy (MJ/$2017 PPP GDP),Value_co2_emissions_kt_by_country,Renewables (% equivalent primary energy),gdp_growth,gdp_per_capita,Density\n(P/Km2),Land Area(Km2),Latitude,Longitude
Sweden,2016,100,100,,,50.89,3.66,63.1,89.13,97.65219,62081.117,3.96,38779.99878,42.0827,2.070593151,51965.15715,25,450295,60.128161,18.643501
Australia,2020,100,100,,,,186.92,0,63.99,25.503168,61826.21,,,10.789811,-0.003836559,51692.84275,3,7741220,-25.274398,133.775136
Sweden,2018,100,100,,,51.54,3.66,68.55,91.15,97.75955,61487.004,3.97,36009.99832,42.218502,1.950022846,54589.06039,25,450295,60.128161,18.643501
Netherlands,2017,100,100,,,6.36,94.81,3.4,17.43,18.012798,61101.004,3.31,155759.9945,5.4899817,2.910902513,48554.99228,508,41543,52.132633,5.291266
Netherlands,2016,100,100,,,5.59,95.09,3.96,14.78,16.463146,60943.15,3.38,158539.9933,4.676411,2.191713719,46007.85292,508,41543,52.132633,5.291266
Finland,2016,100,100,,,42.4,14.87,23.2,30.41,78.28563,60795.297,5.55,45700.00076,26.58672,2.811457767,43784.28396,18,338145,61.92411,25.748151
Finland,2018,100,100,,,44.17,15.05,22.79,32.14,78.49385,60528.164,5.37,44580.00183,28.641554,1.141947509,49964.49991,18,338145,61.92411,25.748151
Turkmenistan,2018,100,99.9,0.2,0,0.06,21.18,0,0,0,59849.832,13.33,73050.00305,0.007368346,6.199999941,6967.375043,13,488100,38.969719,59.556278
Estonia,2017,100,100,,,27.53,11.3,0,1.86,14.1337385,59568.55,5.36,16709.99908,6.830332,5.792044675,20387.28315,31,45228,58.595272,25.013607
Finland,2017,100,100,,,44.48,13.17,22.48,31.48,80.381355,59405.816,5.34,43020.00046,28.707514,3.19240963,46297.49635,18,338145,61.92411,25.748151
Sweden,2020,100,100,,,,2.44,49.2,112.15,98.5103,59395.523,,,51.05897,-2.948127879,52274.40879,25,450295,60.128161,18.643501
Netherlands,2018,100,100,,,7.39,91.26,3.51,18.91,19.722027,59348.1,3.17,151360.0006,5.991268,2.360915095,53018.62936,508,41543,52.132633,5.291266
Finland,2019,100,100,,,45.76,12.63,23.87,31.88,81.52969,59219.418,5.19,40709.99908,29.214561,1.220754143,48628.64176,18,338145,61.92411,25.748151
Estonia,2018,100,100,,,28.59,10.38,0,1.99,16.087309,58899.945,5.54,15319.99969,7.507283,4.133819798,23052.30126,31,45228,58.595272,25.013607
Netherlands,2019,100,100,,,8.54,94.09,3.91,22.79,22.104479,58836.934,3.05,146339.9963,7.3029876,1.955588416,52476.27325,508,41543,52.132633,5.291266
Turkmenistan,2019,99.9,99.9,0.2,40000,0.06,21.18,0,0,0,57961.055,12.87,72870.00275,0.006747688,6.3,7612.03518,13,488100,38.969719,59.556278
Belgium,2020,100,100,,,,30,34.43,23.46,65.866425,57433.73,,,10.637791,-5.65965987,45159.34822,383,30528,50.503887,4.469936
Netherlands,2020,100,100,,,,85.95,4.09,32.75,30.002443,56705.54,,,10.758958,-3.798635993,52397.11671,508,41543,52.132633,5.291266
Finland,2020,100,100,,,,9.82,23.29,35.93,85.77636,56636.78,,,33.16851,-2.800135891,48744.98813,18,338145,61.92411,25.748151
Turkmenistan,2016,99.9899,99.9,0.21,80000,0.05,21.18,0,0,0,56153.7,15.04,73339.99634,0.00823534,6.199999966,6387.682575,13,488100,38.969719,59.556278
New Zealand,2017,100,100,,,30.22,7.98,0,35.33,81.5747,54745.46,4.13,32930.00031,37.083,3.613281553,42992.89527,18,268838,-40.900557,174.885971
Turkmenistan,2017,99.99625,99.9,0.21,60000,0.06,21.18,0,0,0,54625.52,14.13,73120.00275,0.008254031,6.500000047,6587.092604,13,488100,38.969719,59.556278
New Zealand,2016,100,100,,,31.83,6.73,0,36.2,84.32332,54612.46,4.27,31190.00053,38.99087,3.730079893,40080.49411,18,268838,-40.900557,174.885971
Estonia,2016,100,100,,,27.24,10.58,0,1.59,13.064914,53774.246,5.94,15989.99977,6.427242,3.155564814,18282.92339,31,45228,58.595272,25.013607
New Zealand,2018,100,100,,,30.73,7.13,0,36.3,83.58278,53424.1,3.93,32360.00061,38.162262,3.20574788,43306.07,18,268838,-40.900557,174.885971
New Zealand,2019,100,100,,,29.65,7.84,0,35.97,82.10454,53259.336,4.02,34009.99832,36.76238,1.633932613,42755.21626,18,268838,-40.900557,174.885971
Seychelles,2017,100,100,89.65,950000,1.25,0.47,0,0.01,2.0833335,51720.438,3.06,579.9999833,,4.738360886,15945.26493,214,455,-4.679574,55.491977
Aruba,2017,100,,361.61,,6.7,0.79,0,0.14,15.053763,51509.81,3.13,,,1.999999104,29350.80502,590,179,12.52111,-69.96833
Aruba,2019,100,,358.39,,7.48,0.77,0,0.15,16.304348,51107.844,3.2,,,,,590,179,12.52111,-69.96833
Bermuda,2018,100,,,,0.67,0,0,0,,50863.38,1.97,,,-0.4328013,113023.1856,1281,54,32.299507,-64.790337
Bermuda,2019,100,,,,0.84,0,0,0,,50639.293,1.65,,,0.459889943,117098.4463,1281,54,32.299507,-64.790337
Cayman Islands,2019,100,,170.81,,0,0.68,0,0.02,2.857143,50531.71,2.06,,,3.817100404,91392.64259,274,264,19.3299,81.2524
Seychelles,2016,100,100,83.02,670000,1.22,0.46,0,0.01,2.1276596,50241.48,3.08,579.9999833,,4.562623278,15068.62035,214,455,-4.679574,55.491977
Bermuda,2016,100,,,,1.09,0,0,0,,50238.902,1.83,612.389,,-0.657206304,106885.8785,1281,54,32.299507,-64.790337
Aruba,2016,100,,363.32,,6.99,0.76,0,0.14,15.555556,50017.652,3.16,883.747,,2.099999586,28452.17061,590,179,12.52111,-69.96833
Aruba,2018,100,,359.96,,8.02,0.76,0,0.15,16.483517,49515.113,3.07,,,,30253.27936,590,179,12.52111,-69.96833
Bermuda,2017,100,,,,0.64,0,0,0,,49395.46,1.77,,,3.611419837,111820.5815,1281,54,32.299507,-64.790337
Austria,2019,100,100,,,33.77,16.22,0,54.64,77.109795,48314.258,2.82,64769.99664,35.611378,1.49121085,50114.40111,109,83871,47.516231,14.550072
Austria,2017,100,100,,,33.98,16.37,0,51.05,75.719376,47423.047,2.97,65860.00061,34.502872,2.258572433,47312.00623,109,83871,47.516231,14.550072
New Zealand,2020,100,100,,,,8.42,0,34.77,80.504745,47384.516,,,39.064182,1.862851533,41441.46667,18,268838,-40.900557,174.885971
Estonia,2019,100,100,,,31.29,5.47,0,2.14,28.120895,47295.336,4.49,10180.00031,9.91299,4.096342644,23397.12001,31,45228,58.595272,25.013607
Germany,2017,100,100,,,15.22,353.37,76.32,216.32,45.29961,47112.9,2.98,732200.0122,16.196213,2.680231114,44542.2952,240,357022,51.165691,10.451526
Austria,2016,100,100,,,34.64,14.17,0,51.08,78.28352,46698.785,2.98,63680.00031,35.651855,1.989437162,45276.83144,109,83871,47.516231,14.550072
Germany,2016,100,100,,,14.24,368.67,84.63,189.67,42.6614,46675.777,3.04,747150.0244,14.607312,2.229999868,42107.51727,240,357022,51.165691,10.451526
Czechia,2017,100,100,,,14.46,47.81,28.34,9.63,44.264397,46583.094,4.41,101830.0018,5.815572,,,136,78871,49.817492,15.472962
Cayman Islands,2017,100,,138.3,,0.01,0.65,0,0.01,1.5151515,46465.98,1.87,,,3.184043376,81513.16302,274,264,19.3299,81.2524
Czechia,2018,100,100,,,14.72,47.51,29.92,9.43,45.302784,46420.684,4.28,100900.0015,5.6855097,,,136,78871,49.817492,15.472962
Austria,2018,100,100,,,34.11,14.98,0,50.06,76.96802,46186.543,2.81,63060.00137,34.568928,2.501595119,51461.43322,109,83871,47.516231,14.550072
Bermuda,2020,100,,,,,0,0,0,,46161.586,,,,-6.344080246,107079.4798,1281,54,32.299507,-64.790337
Germany,2018,100,100,,,16.12,334.65,76,222.07,47.109306,45781.406,2.87,707700.0122,17.084951,1.086024514,47950.18081,240,357022,51.165691,10.451526
Seychelles,2019,100,100,99.22,,1.47,0.49,0,0.04,7.54717,45777.125,3.08,610.0000143,,1.191005738,16213.48076,214,455,-4.679574,55.491977
Czechia,2019,100,100,,,15.85,45.44,30.25,10.08,47.021107,45355.285,4.12,96290.00092,6.1152124,,,136,78871,49.817492,15.472962
Seychelles,2018,100,100,99.88,,1.24,0.48,0,0.01,2.0408163,45307.637,3.16,579.9999833,,1.771183467,15994.81986,214,455,-4.679574,55.491977
Austria,2020,100,100,,,,13.77,0,55.42,80.098274,45028.27,,,38.26067,-6.734514076,48586.80132,109,83871,47.516231,14.550072
Germany,2019,100,100,,,17.17,284.09,75.07,240.33,52.611385,44467.746,2.76,657400.0244,18.768305,1.055508247,46794.89929,240,357022,51.165691,10.451526
Estonia,2020,100,100,,,,3.11,0,2.97,48.848686,44218.28,,,14.138368,-2.951069313,23027.027,31,45228,58.595272,25.013607
Czechia,2016,100,100,,,14.77,48.52,24.1,9.39,40.836487,44110.195,4.44,101730.0034,5.94577,,,136,78871,49.817492,15.472962
Seychelles,2020,100,100,99.53,,,0.53,0,0.07,11.666666,43703.28,,,,-10.77092148,10764.42042,214,455,-4.679574,55.491977
Aruba,2020,100,,356.86,,,0.73,0,0.15,17.045456,43496.94,,,,,,590,179,12.52111,-69.96833
Kazakhstan,2019,100,92.8,227.14,279670000,1.7,95.39,,11.09,10.415101,43404.29,6.27,212110.0006,3.468928,4.5,9812.595808,7,2724900,48.019573,66.923684
France,2018,100,100,,,15.21,49.27,412.94,113.62,91.44365,43334.203,3.4,307049.9878,12.132495,1.865066071,41572.48501,119,643801,46.227638,2.213749
Kazakhstan,2018,100,92.9,183.89,250340000,1.88,96.36,,10.91,10.170598,43320.58,6.65,216600.0061,3.3888385,4.1,9812.626371,7,2724900,48.019573,66.923684
France,2016,100,100,,,14.24,56.45,403.2,99,89.89528,43053.95,3.56,313920.0134,10.975246,1.095464404,37037.37419,119,643801,46.227638,2.213749
France,2017,100,100,,,14.12,65.09,398.36,92.63,88.294846,42633.387,3.47,317829.9866,10.437264,2.291419994,38685.25849,119,643801,46.227638,2.213749
Cayman Islands,2018,100,,154.54,,0.01,0.64,0,0.01,1.5384616,42507.164,1.9,,,4.19434091,86059.73922,274,264,19.3299,81.2524
Kazakhstan,2017,100,93.1,166.77,150150000,2.02,91.48,,11.64,11.28782,42406.99,6.08,214580.0018,4.0426664,4.1,9247.581331,7,2724900,48.019573,66.923684
France,2019,100,100,,,15.53,53.5,399.01,113.21,90.54302,42326.785,3.29,300519.989,12.384905,1.842971814,40578.64429,119,643801,46.227638,2.213749
Czechia,2020,100,100,,,,39.72,30.04,10.39,50.442917,42025.31,,,6.691049,,,136,78871,49.817492,15.472962
Cayman Islands,2020,100,,193.81,,,0.67,0,0.02,2.8985507,41981.38,,,,-6.730287428,85082.52686,274,264,19.3299,81.2524
Japan,2017,100,100,,,6.92,806.12,27.75,175.12,20.106245,41783.035,3.5,1155229.98,8.634004,1.675331752,38891.08627,347,377944,36.204824,138.252924
Japan,2018,100,100,,,7.22,780.61,47.82,183.63,22.869198,41694.16,3.45,1116150.024,9.322305,0.558851275,39808.16856,347,377944,36.204824,138.252924
Germany,2020,100,100,,,,251.4,64.38,251.48,55.681694,41377.68,,,21.122828,-4.569616717,46208.42947,240,357022,51.165691,10.451526
Japan,2016,100,100,,,6.39,832.4,14.87,157.7,17.171658,41172.285,3.54,1167790.039,7.9758606,0.753826746,39400.73936,347,377944,36.204824,138.252924
Cayman Islands,2016,100,,44.02,,0.01,0.65,0,0,0,40911.793,1.84,546.383,,3.239976888,78471.62873,274,264,19.3299,81.2524
Japan,2019,100,100,,,7.69,735.66,63.88,192.72,25.860157,40868.688,3.33,1081569.946,9.565927,0.270304645,40777.6087,347,377944,36.204824,138.252924
Kazakhstan,2016,100,93.1,165.5,45870000,2.07,82.65,,11.98,12.659833,39906.78,6.22,202149.9939,4.4041133,1.1,7714.841844,7,2724900,48.019573,66.923684
Bahamas,2018,100,100,3.54,110000,1.02,2.14,0,0,0,39876.79,2.72,,,,,41,13878,25.025885,-78.035889
Bahamas,2019,100,100,5.88,560000,1.14,2.1,0,0,0,39636.066,2.53,,,,,41,13878,25.025885,-78.035889
Kazakhstan,2020,100,92.7,266.15,,,96.7,,11.94,10.990427,39590.598,,,3.9000363,-2.5,9122.23343,7,2724900,48.019573,66.923684
Slovenia,2018,100,100,,,20.61,5.12,5.78,5.22,68.23821,39165.715,3.67,14069.99969,16.982708,4.422521568,26104.10279,103,20273,46.151241,14.995463
Switzerland,2019,100,100,,,24.76,3.58,25.28,37.64,94.61654,39156.45,1.68,37380.00107,33.137398,1.210992207,85334.51946,219,41277,46.818188,8.227512
Ireland,2018,100,100,,,10.78,20.7,0,10.2,33.00971,38573.797,1.41,37659.99985,14.717063,9.0301611,79068.97461,73,84421,53.41291,-8.24389
Slovenia,2017,100,100,,,19.71,5.32,6.29,4.44,66.853584,38524.098,3.88,14119.99989,14.848828,4.815380632,23455.94473,103,20273,46.151241,14.995463
Ireland,2016,100,100,,,8.59,22.71,0,7.52,24.875952,38517.676,1.69,38819.99969,11.26935,2.042232527,62818.96636,73,84421,53.41291,-8.24389
