Country,ISO3,value,date
Nepal,NPL,4726.60650378106,2022-01-01
Nauru,NRU,13021.398870157,2022-01-01
Namibia,NAM,11531.3005163764,2022-01-01
Myanmar,MMR,5019.73973180583,2022-01-01
Mozambique,MOZ,1477.34939961028,2022-01-01
Morocco,MAR,9547.6640625,2022-01-01
Montenegro,MNE,28324.5686887852,2022-01-01
Mongolia,MNG,14260.3096543967,2022-01-01
Moldova,MDA,15719.2324862641,2022-01-01
"Micronesia, Fed. Sts.",FSM,3854.87700100021,2022-01-01
Mexico,MEX,23900.3799175672,2022-01-01
Mauritius,MUS,26979.0532195774,2022-01-01
Mauritania,MRT,6295.78099826155,2022-01-01
Marshall Islands,MHL,7092.027363937,2022-01-01
Malta,MLT,58546.9244179155,2022-01-01
Mali,MLI,2518.94728348582,2022-01-01
Maldives,MDV,25124.6094529944,2022-01-01
Malaysia,MYS,33525.3012498421,2022-01-01
Malawi,MWI,1732.60411139387,2022-01-01
Madagascar,MDG,1774.65630399746,2022-01-01
"Macao SAR, China",MAC,61230.9624698427,2022-01-01
Luxembourg,LUX,146457.020543986,2022-01-01
Lithuania,LTU,50968.939392596,2022-01-01
Libya,LBY,23382.7324088016,2022-01-01
Liberia,LBR,1570.47437952052,2021-01-01
Lesotho,LSO,2646.1759238104,2022-01-01
Lebanon,LBN,14330.5156325828,2021-01-01
Latvia,LVA,41624.6567554913,2022-01-01
Lao PDR,LAO,9387.37441239891,2022-01-01
Kyrgyz Republic,KGZ,5988.60618019937,2022-01-01
Kuwait,KWT,58349.2114120915,2022-01-01
Kosovo,XKX,14971.1520561322,2022-01-01
"Korea, Rep.",KOR,51666.3750432053,2022-01-01
Kiribati,KIR,2365.50992341051,2022-01-01
Kenya,KEN,5765.81949696443,2022-01-01
Kazakhstan,KAZ,30820.0857848623,2022-01-01
Jordan,JOR,11209.897676438,2022-01-01
Japan,JPN,46850.0843861909,2022-01-01
Jamaica,JAM,11938.9009664569,2022-01-01
Italy,ITA,55442.07842941,2022-01-01
Israel,ISR,52133.609324755,2022-01-01
Ireland,IRL,133822.758723223,2022-01-01
Iraq,IRQ,10865.4200792049,2022-01-01
"Iran, Islamic Rep.",IRN,18261.8484604897,2022-01-01
Indonesia,IDN,14657.7823368915,2022-01-01
India,IND,8400.3828483398,2022-01-01
Iceland,ISL,71840.1264862879,2022-01-01
Hungary,HUN,43659.4507671341,2022-01-01
"Hong Kong SAR, China",HKG,69072.310480745,2022-01-01
Honduras,HND,6743.33006423991,2022-01-01
Haiti,HTI,3306.17082412482,2022-01-01
Guyana,GUY,42089.900359606,2022-01-01
Guinea-Bissau,GNB,2191.16485861513,2022-01-01
Guinea,GIN,3188.07510401313,2022-01-01
Guatemala,GTM,10821.7554497323,2022-01-01
Grenada,GRD,17082.892672685,2022-01-01
Greece,GRC,38922.4742252972,2022-01-01
Ghana,GHA,6473.08984567289,2022-01-01
Germany,DEU,66616.022245056,2022-01-01
Georgia,GEO,20172.0764615412,2022-01-01
"Gambia, The",GMB,2496.49543510611,2022-01-01
Gabon,GAB,16464.9743242695,2022-01-01
France,FRA,57594.0340179208,2022-01-01
Finland,FIN,62823.0352933365,2022-01-01
Fiji,FJI,14632.2100618181,2022-01-01
Ethiopia,ETH,2812.51313440852,2022-01-01
Eswatini,SWZ,10699.5423550208,2022-01-01
Estonia,EST,48168.3970970141,2022-01-01
Equatorial Guinea,GNQ,17620.7409736268,2022-01-01
El Salvador,SLV,11098.0983942883,2022-01-01
"Egypt, Arab Rep.",EGY,15095.9900534616,2022-01-01
Ecuador,ECU,12826.3613458148,2022-01-01
Dominican Republic,DOM,22841.0897955951,2022-01-01
Dominica,DMA,13540.2246149243,2022-01-01
Djibouti,DJI,5893.23837068246,2022-01-01
Denmark,DNK,77953.6786613124,2022-01-01
Czechia,CZE,51695.181658382,2022-01-01
Cyprus,CYP,53785.74609375,2022-01-01
Curacao,CUW,27302.217641031,2022-01-01
Croatia,HRV,42171.1848047052,2022-01-01
Cote d'Ivoire,CIV,6540.46235512789,2022-01-01
Costa Rica,CRI,26181.1382924767,2022-01-01
"Congo, Rep.",COG,4335.05500104993,2022-01-01
"Congo, Dem. Rep.",COD,1337.83414851626,2022-01-01
Comoros,COM,3833.73856298857,2022-01-01
Colombia,COL,20951.5407288935,2022-01-01
China,CHN,21482.5621847397,2022-01-01
Chile,CHL,31436.5772538227,2022-01-01
Chad,TCD,1668.57552569893,2022-01-01
Central African Republic,CAF,973.246270390756,2022-01-01
Cayman Islands,CYM,84279.6199785314,2022-01-01
Canada,CAN,61380.1983945967,2022-01-01
Cameroon,CMR,4398.04891872079,2022-01-01
Cambodia,KHM,5355.17190766502,2022-01-01
Cabo Verde,CPV,8715.99568369362,2022-01-01
Burundi,BDI,836.464567494017,2022-01-01
Burkina Faso,BFA,2549.93498181033,2022-01-01
Bulgaria,BGR,35469.8716520428,2022-01-01
Brunei Darussalam,BRN,69297.9327104333,2022-01-01
Brazil,BRA,17827.6410509892,2022-01-01
Botswana,BWA,18329.8492615705,2022-01-01
Bosnia and Herzegovina,BIH,20950.1998492384,2022-01-01
Bolivia,BOL,9737.67606836986,2022-01-01
Bhutan,BTN,12795.351765707,2021-01-01
Bermuda,BMU,95868.7802623325,2022-01-01
Benin,BEN,4057.45175503911,2022-01-01
Belize,BLZ,11189.8640824336,2022-01-01
Belgium,BEL,68253.332067842,2022-01-01
Belarus,BLR,22550.6404444662,2022-01-01
Barbados,BRB,18210.1343005115,2022-01-01
Bangladesh,BGD,7397.54573714685,2022-01-01
Bahrain,BHR,61248.1801285972,2022-01-01
"Bahamas, The",BHS,40942.7767235251,2022-01-01
Azerbaijan,AZE,17828.6083929734,2022-01-01
Austria,AUT,70975.7206346934,2022-01-01
Australia,AUS,65388.2159562839,2022-01-01
Aruba,ABW,48750.3160050803,2022-01-01
Armenia,ARM,18965.727568415,2022-01-01
Argentina,ARG,26530.3231237638,2022-01-01
Antigua and Barbuda,ATG,26365.468976483,2022-01-01
Angola,AGO,6976.00646865565,2022-01-01
Algeria,DZA,13226.789566754,2022-01-01
Albania,ALB,19496.2148510567,2022-01-01
Afghanistan,AFG,1673.14418861155,2021-01-01
