,name,isAirport,long,lat,country,town,guiness_price
241,The William Aylmer,False,0.092027,51.771172,England,Harlow,3.15
240,The Temeraire,False,0.239106,52.022184,England,Saffron Walden,3.15
226,The New Crown,False,-0.130591,51.633315,England,Southgate,3.15
249,The Gold Cape,False,-3.141215,53.166431,Wales,Mold,3.15
434,The Ford Madox Brown,False,-2.226697,53.458084,England,Manchester,3.15
318,The Kings Fee,False,-2.710562,52.058302,England,Hereford,3.15
333,The Three Magnets,False,-0.226942,51.979248,England,Letchworth,3.15
427,The Yarborough Hotel,False,-0.087395,53.563934,England,Grimsby,3.15
419,The Packhorse Inn,False,-0.410512,52.999841,England,Sleaford,3.15
157,Waggon and Horses,False,-1.390282,53.097116,England,Alfreton,3.15
418,The Moon Under Water,False,-0.024404,52.976692,England,Boston,3.15
411,The London & Rye,False,-0.018347,51.447015,England,Catford,3.15
404,The Lord Keeper of the Great Seal,False,-1.08408,52.600848,England,Oadby,3.15
397,The Twelve Tellers,False,-2.696868,53.758722,England,Preston,3.15
319,The Mail Rooms,False,-2.582069,51.91382,England,Ross-on-Wye,3.15
392,The Sir Richard Owen,False,-2.80032,54.046889,England,Lancaster,3.15
382,The Grey Friar,False,-2.702992,53.760301,England,Preston,3.15
362,The Robert Pocock,False,0.369227,51.44233,England,Gravesend,3.15
354,The Golden Hope,False,0.732164,51.340422,England,Sittingbourne,3.15
352,The Eight Bells,False,1.312592,51.125805,England,Dover,3.15
350,The Belle and Lion,False,0.760292,51.440797,England,Sheerness,3.15
344,The James Watt,False,-4.753627,55.946808,Scotland,Greenock,3.15
338,The Botwell Inn,False,-0.416617,51.508134,England,Hayes,3.15
385,The Leyland Lion,False,-2.692648,53.695493,England,Leyland,3.15
395,The Thomas Drummond,False,-3.011607,53.921906,England,Fleetwood,3.15
219,The Foot of the Walk,False,-3.171012,55.970788,Scotland,Leith,3.15
627,The Lord Burton,False,-1.629501,52.802992,England,Burton upon Trent,3.15
636,The Half Moon Inn,False,-1.294102,54.607379,England,Billingham,3.15
19,The Moon and Spoon,False,-0.595761,51.509569,England,Slough,3.15
745,The Ounce & Ivy Bush,False,-0.008773,51.126476,England,East Grinstead,3.15
747,The Six Gold Martlets,False,-0.131755,50.956203,England,Burgess Hill,3.15
56,The Sirhowy,False,-3.195527,51.669323,Wales,Blackwood,3.15
509,The Three Tuns,False,-1.341393,54.232583,England,Thirsk,3.15
756,The Broken Bridge,False,-1.309399,53.692556,England,Pontefract,3.15
607,The Queens Hotel,False,-1.196687,53.423301,England,Rotherham,3.15
759,The Commercial Inn,False,-1.907801,53.709538,England,Sowerby Bridge,3.15
63,The Swan & Angel,False,-0.0749562,52.3232215,England,St Ives,3.15
64,The Weeping Ash,False,-0.269142,52.22873,England,St Neots,3.15
596,The John Fairweather,False,-4.165774,55.818727,Scotland,Cambuslang,3.15
595,The Hay Stook,False,-4.1767691,55.7610994,Scotland,East Kilbride,3.15
594,An Ruadh-Ghleann,False,-4.217484,55.828222,Scotland,Rutherglen,3.15
592,The West Kirk,False,-4.633937,55.462916,Scotland,Ayr,3.15
637,The Highland Laddie,False,-1.310721,54.587781,England,Norton,3.15
639,Grover & Allen,False,0.730154,52.040777,England,Sudbury,3.15
644,The Joseph Conrad,False,1.750985,52.474293,England,Lowestoft,3.15
649,The Edmund Tylney,False,-0.327456,51.295354,England,Leatherhead,3.15
28,The Olympia,False,-3.245151,51.771165,Wales,Tredegar,3.15
700,The Arthur Robertson,False,-1.902602,52.516921,England,Birmingham,3.15
32,J.J. Moon's,False,-0.292811,51.553589,England,Wembley,3.15
33,The Sawyer's Arms,False,-3.659949,51.608429,Wales,Maesteg,3.15
690,The Bear & Ragged Staff,False,-1.471069,52.479607,England,Bedworth,3.15
685,The King's Ford,False,-0.017282,51.616348,England,Chingford,3.15
718,The Elizabeth of York,False,-1.887532,52.446314,England,Moseley,3.15
583,The Iron Duke,False,-3.227553,50.978756,England,Wellington,3.15
678,The Tilley Stone,False,-1.602189,54.961737,England,Gateshead,3.15
665,The Half Moon,False,-0.045316,51.522195,England,Mile End,3.15
661,The Potters Wheel,False,-3.949492,51.619245,Wales,Swansea,3.15
721,The Full Moon,False,-2.084455,52.509425,England,Dudley,3.15
659,The Bank Statement,False,-3.940487,51.619375,Wales,Swansea,3.15
22,The New Cross Turnpike ,False,0.103909,51.462947,England,Welling,3.15
743,The Jubilee Oak,False,-0.190369,51.115383,England,Crawley,3.15
744,The Lynd Cross,False,-0.332293,51.063625,England,Horsham,3.15
671,The High Main,False,-1.584256,54.97674,England,Newcastle upon Tyne,3.15
711,The Chequers Inn,False,-2.143758,52.454977,England,Stourbridge,3.15
580,The Cerdic,False,-2.96261,50.873112,England,Chard,3.15
575,The Wilfred Owen,False,-3.056445,52.859546,England,Oswestry,3.15
92,The Queens Arms,False,-2.530204,53.191311,England,Winsford,3.15
798,The Foley Arms Hotel,False,-2.330037,52.112482,England,Great Malvern,3.15
93,The Society Rooms,False,-2.124356,53.256458,England,Macclesfield,3.15
538,The Regent,False,-1.243889,53.099422,England,Kirkby-in-Ashfield,3.15
536,The Picture House,False,-1.261325,53.126174,England,Sutton-in-Ashfield,3.15
533,The Lady Chatterley,False,-1.304965,53.017956,England,Nottingham,3.15
98,The Wilfred Wood,False,-2.120471,53.379446,England,Stockport,3.15
540,The Samuel Hall,False,-1.146399,52.981368,England,Nottingham,3.15
531,The Gooseberry Bush,False,-1.15578,52.959685,England,Nottingham,3.15
2,The Cross Keys,False,-1.779061,57.505782,Scotland,Peterhead,3.15
522,The Red Lion,False,-1.600477,55.131345,England,Bedlington,3.15
799,The Old Swanne Inne,False,-1.946456,52.094272,England,Evesham,3.15
517,The Saracens Head Inn,False,-1.164515,52.257668,England,Daventry,3.15
224,The Alfred Herring,False,-0.10697,51.619343,England,Palmers Green,3.15
106,The Bobbing John,False,-3.791251,56.11587,Scotland,Alloa,3.15
514,The Railway Inn,False,-0.599042,52.293072,England,Rushden,3.15
524,The Wallaw,False,-1.508041,55.126572,England,Blyth,3.15
576,The William Withering,False,-2.517038,52.700595,England,Wellington,3.15
6,The Henry Bell,False,-4.737553,56.004058,Scotland,Helensburgh,3.15
8,The Moon Under Water,False,-0.251046,51.587353,England,Colindale,3.15
75,The Ivor Davies,False,-3.200316,51.48133,Wales,Cardiff,3.15
573,The Jewel of the Severn,False,-2.420223,52.536721,England,Bridgnorth,3.15
572,The Hippodrome,False,-2.485833,52.906125,England,Market Drayton,3.15
78,The York Palace,False,-4.163244,51.680907,Wales,Llanelli,3.15
79,Yr Hen Dderwen,False,-4.304996,51.857052,Wales,Carmarthen,3.15
569,The Bourtree,False,-2.783623,55.425266,Scotland,Hawick,3.15
568,Hunters Hall,False,-2.811066,55.61789,Scotland,Galashiels,3.15
565,Yr Ieuan Ap Iago,False,-3.446322,51.712742,Wales,Aberdare,3.15
84,The Counting House,False,-2.214671,53.163783,England,Congleton,3.15
763,The Golden Beam,False,-1.57093120497953,53.8169279042559,England,Leeds,3.15
85,The Ferry Boat,False,-2.731586,53.34215,England,Runcorn,3.15
560,The Great Spoon of Ilford,False,0.06883,51.561882,England,Ilford,3.15
556,The Black Boy,False,-3.316007,52.516404,Wales,Newtown,3.15
549,The Narrows,False,-1.283443,51.670176,England,Abingdon-on-Thames,3.15
547,The Exchange,False,-1.33877,52.060556,England,Banbury,3.15
765,The Lister Arms,False,-1.825689,53.925738,England,Ilkley,3.15
785,The Albany Palace,False,-2.206405,51.320004,England,Trowbridge,3.15
710,The Charlie Hall,False,-1.83997,52.524249,England,Birmingham,3.15
270,The Spinning Mule,False,-2.42683,53.577473,England,Bolton,3.23
508,The Swatters Carr,False,-1.238653,54.569864,England,Middlesbrough,3.23
681,The Wouldhave,False,-1.433382,54.999935,England,South Shields,3.23
485,The Red Lion,False,0.750489,52.413429,England,Thetford,3.23
523,The Rohan Kanhai,False,-1.567594,55.183414,England,Ashington,3.23
126,The Hat and Feathers,False,-1.333609,54.837059,England,Seaham ,3.23
129,The Tanners Hall,False,-1.557235,54.52558,England,Darlington,3.23
130,The Ward Jackson,False,-1.208621,54.685666,England,Hartlepool,3.23
131,The Wicket Gate,False,-1.573391,54.852139,England,Chester-le-Street,3.23
132,The William Stead,False,-1.552607,54.525575,England,Darlington,3.23
703,The Bellwether,False,-2.018997,52.553248,England,Wednesbury,3.23
603,The Gate House,False,-1.134002,53.522466,England,Doncaster,3.23
632,The Reginald Mitchell,False,-2.174163,53.02532,England,Hanley,3.23
634,The Wheatsheaf,False,-2.185283,53.004065,England,Stoke-on-Trent,3.23
379,The Commercial Hotel,False,-2.363892,53.752709,England,Accrington,3.23
378,The Boot Inn,False,-2.240758,53.788985,England,Burnley,3.23
358,The Mechanical Elephant,False,1.377825,51.386708,England,Margate,3.23
667,The Cooper Rose,False,-1.387901,54.903408,England,Sunderland,3.23
609,The Red Lion,False,-1.132554,53.523957,England,Doncaster,3.23
801,The Elihu Yale,False,-2.997051,53.047074,Wales,Wrexham,3.23
399,The Wallace Hartley,False,-2.170443,53.856709,England,Colne,3.35
454,The Glass House,False,-2.735861,53.451334,England,St Helens,3.35
381,The Eric Bartholomew,False,-2.866207,54.072496,England,Morecambe,3.35
400,The Amber Rooms,False,-1.209355,52.77373,England,Loughborough,3.35
672,The Job Bulman,False,-1.61937,55.004768,England,Newcastle upon Tyne,3.39
507,The Ralph Fitz Randal,False,-1.736716,54.404675,England,Richmond,3.45
663,The Thomas Botfield,False,-2.445659,52.675617,England,Telford,3.45
488,The Whalebone,False,0.373821,52.60295,England,Downham Market,3.45
487,The Troll Cart,False,1.729446,52.607216,England,Great Yarmouth,3.45
486,The Romany Rye,False,0.939354,52.680983,England,Dereham,3.45
116,The Towan Blystra,False,-5.077438,50.414392,England,Newquay,3.45
664,The John Fielding,False,-3.020568,51.655404,Wales,Cwmbran,3.45
117,The Tremenheere,False,-5.536728,50.118594,England,Penzance,3.45
668,The Fire Station,False,-1.445076,55.042515,England,Whitley Bay,3.45
42,The Van Dyck Forum,False,-2.530289,51.479661,England,Bristol,3.45
480,Globe Hotel,False,0.393692,52.75578,England,King’s Lynn,3.45
118,Try Dowr,False,-5.050308,50.262189,England,Truro,3.45
476,The Lord Caradoc,False,-3.782071,51.59438,Wales,Port Talbot,3.45
475,The David Protheroe,False,-3.806338,51.661907,Wales,Neath,3.45
474,The Muckle Cross,False,-3.312467,57.648905,Scotland,Elgin,3.45
41,The Staple Hill Oak,False,-2.510118,51.481194,England,Bristol,3.45
472,The Coliseum,False,-3.019214,51.823226,Wales,Abergavenny,3.45
39,The Kingswood Colliers,False,-2.506893,51.462386,England,Bristol,3.45
679,The Wild Boar,False,-1.469199,54.843412,England,Houghton-le-Spring,3.45
38,The Jolly Sailor,False,-2.517164,51.449194,England,Bristol,3.45
490,The William Adams,False,1.728201,52.580488,England,Great Yarmouth,3.45
491,The Auld Brig,False,-4.672991,55.612441,Scotland,Irvine,3.45
492,The Paddle Steamer,False,-4.87005,55.7952,Scotland,Largs,3.45
493,The Salt Cot,False,-4.789511,55.633765,Scotland,Saltcoats,3.45
656,The Sun,False,-0.167925,51.241219,England,Redhill,3.45
108,The Picture House,False,-3.727801,53.296712,Wales,Colwyn Bay,3.45
512,The Cordwainer,False,-0.892703,52.237947,England,Northampton,3.45
657,The Moon on the Hill,False,-0.193255,51.361894,England,Sutton,3.45
510,The Unicorn Hotel,False,-1.523206,54.136018,England,Ripon,3.45
110,The Green Parrot ,False,-5.156051,50.344363,England,Perranporth,3.45
111,The Hain Line,False,-5.480804,50.211435,England,St Ives,3.45
658,The Nonsuch Inn,False,-0.226121,51.372466,England,North Cheam,3.45
660,The Mardy Inn,False,-4.037645,51.669,Wales,Swansea,3.45
46,The Moon & Stars,False,-0.050885,51.412746,England,Penge,3.45
112,The John Francis Basset,False,-5.301041,50.213624,England,Camborne,3.45
503,The Lord Rosebery,False,-0.404235,54.280924,England,Scarborough,3.45
502,The Ironstone Miner,False,-1.0566161,54.5345119,England,Guisborough,3.45
501,The Giant Bellflower,False,-1.072167,53.783565,England,Selby,3.45
500,The Devonshire Inn,False,-2.015596,53.960359,England,Skipton,3.45
114,The Packet Station,False,-5.073068,50.154786,England,Falmouth,3.45
498,The Buck Inn,False,-1.43701,54.34155,England,Northallerton,3.45
662,The Red Lion Inn,False,-3.922654,51.668635,Wales,Swansea,3.45
496,The Wishaw Malt,False,-3.91806,55.77417,Scotland,Wishaw,3.45
115,The Rann Wartha,False,-4.793412,50.338748,England,St Austell,3.45
494,The Brandon Works,False,-3.990256,55.791623,Scotland,Motherwell,3.45
134,The Moon Under Water,False,-0.12138,51.407097,England,Norbury,3.45
683,The Bears Head,False,-3.175713,51.43944,Wales,Penarth,3.45
466,The Watch Maker,False,-2.802256,53.429627,England,Prescot,3.45
465,The Thomas Frost,False,-2.97267,53.435863,England,Liverpool,3.45
435,The Great Central,False,-2.219303,53.44101,England,Manchester,3.45
153,The Sir Nigel Gresley,False,-1.557805,52.774308,England,Swadlincote,3.45
433,The Edwin Waugh,False,-2.22136,53.593732,England,Heywood,3.45
154,The Smithy Fold,False,-1.948946,53.442653,England,Glossop,3.45
431,The Bishop Blaize,False,-2.289116,53.461185,England,Stretford,3.45
698,Abraham Darby,False,-2.111407,52.479426,England,Brierley Hill,3.45
31,J.J. Moon's,False,-0.279922,51.584673,England,Kingsbury,3.45
29,The Picture House,False,-3.207618,51.77965,Wales,Ebbw Vale,3.45
155,The Standing Order,False,-1.478165,52.924163,England,Derby,3.45
426,The White Horse,False,-0.488763,53.5524,England,Brigg,3.45
425,The Tollemache Inn,False,-0.639824,52.909841,England,Grantham,3.45
424,The Sweyn Forkbeard,False,-0.777033,53.398454,England,Gainsborough,3.45
423,The Stamford Post,False,-0.480789,52.651148,England,Stamford,3.45
421,The Red Lion,False,0.336307,53.143959,England,Skegness,3.45
420,The Raymond Mays,False,-0.37678,52.76957,England,Bourne ,3.45
156,The Wye Bridge House,False,-1.905302,53.259412,England,Buxton,3.45
158,George's Meeting House,False,-3.530044,50.720565,England,Exeter,3.45
620,The Acorn Inn,False,-1.825945,52.683733,England,Lichfield,3.45
416,The Ivy Wall,False,-0.151381,52.788547,England,Spalding,3.45
415,The Coliseum Picture Theatre,False,-0.031085,53.560768,England,Cleethorpes,3.45
160,The Britannia Inn,False,-4.1573,50.385633,England,Plymouth,3.45
151,The Portland Hotel,False,-1.431165,53.235196,England,Chesterfield,3.45
654,The Oxted Inn,False,-0.004753,51.257473,England,Oxted,3.45
696,The Captain James Lang,False,-4.571429,55.943228,Scotland,Dumbarton,3.45
150,The Pillar of Rock,False,-1.293819,53.229884,England,Chesterfield,3.45
35,Robert Fitzharding,False,-2.600943,51.441129,England,Bristol,3.45
462,The Raven,False,-2.958666,53.463796,England,Liverpool,3.45
461,The Queen's Picture House,False,-3.027309,53.474184,England,Liverpool,3.45
137,The Bransty Arch,False,-3.587175,54.550938,England,Whitehaven,3.45
686,The Walnut Tree,False,0.012879,51.56979,England,Leytonstone,3.45
458,The Nine Arches,False,-2.643989,53.452255,England,Newton-le-Willows,3.45
457,The Navigator,False,-2.905678,53.41513,England,Liverpool,3.45
456,The Lime Kiln,False,-2.980277,53.40297,England,Liverpool,3.45
687,J.J. Moon's,False,-0.168426,51.427847,England,Tooting,3.45
141,The Henry Bessemer,False,-3.548045,54.643076,England,Workington,3.45
34,The Wyndham Arms Hotel,False,-3.57927,51.506639,Wales,Bridgend,3.45
143,The William Rufus,False,-2.931917,54.89132,England,Carlisle,3.45
144,Woodrow Wilson,False,-2.930705,54.890756,England,Carlisle,3.45
449,The Childwall Fiveways Hotel,False,-2.896656,53.39682,England,Liverpool,3.45
691,The Benjamin Satchwell,False,-1.535581,52.289716,England,Royal Leamington Spa,3.45
145,The Castle Hotel,False,-3.310398,53.114594,Wales,Ruthin,3.45
446,The Barker's Brewery,False,-2.840059,53.413375,England,Liverpool,3.45
147,Spa Lane Vaults,False,-1.424153,53.235225,England,Chesterfield,3.45
692,The Felix Holt,False,-1.469525,52.523007,England,Nuneaton,3.45
149,The Observatory,False,-1.308167,52.971521,England,Ilkeston,3.45
694,The Rupert Brooke,False,-1.259349,52.37303,England,Rugby,3.45
695,The Thomas Lloyd,False,-1.590252,52.28228,England,Warwick,3.45
702,The Avion,False,-1.919698,52.603429,England,Aldridge,3.45
516,The Samuel Lloyd,False,-0.70602,52.507544,England,Corby,3.45
518,The Saxon Crown,False,-0.699317,52.487058,England,Corby,3.45
593,Thorn's Farm,False,-2.41326,51.539258,England,Yate,3.45
70,The Aneurin Bevan,False,-3.199854,51.507614,Wales,Cardiff,3.45
591,The Prestwick Pioneer,False,-4.610786,55.499539,Scotland,Prestwick,3.45
590,The William Dampier,False,-2.626269,50.941616,England,Yeovil,3.45
589,The Reeds Arms,False,-2.998761,51.23429,England,Burnham-on-Sea,3.45
588,The Quarter Jack,False,-2.649105,51.207049,England,Wells,3.45
587,The Posset Cup,False,-2.765912,51.485909,England,Bristol,3.45
586,The Perkin Warbeck,False,-3.099492,51.014715,England,Taunton,3.45
585,The Lantokay,False,-2.74146,51.125835,England,Street,3.45
631,The Poste of Stone,False,-2.148554,52.903487,England,Stone,3.45
55,The Malcolm Uphill,False,-3.219794,51.57221,Wales,Caerphilly,3.45
582,The Glassmaker,False,-2.758405,51.432151,England,Nailsea,3.45
581,The Duke of Wellington,False,-3.479339,51.2053,England,Minehead,3.45
72,The Ernest Willows,False,-3.165617,51.485684,Wales,Cardiff,3.45
579,The Carnival Inn,False,-3.004078,51.127462,England,Bridgwater,3.45
578,Palladium Electric,False,-2.4815218,51.2860806,England,Radstock,3.45
577,Cabot Court Hotel,False,-2.982553,51.350518,England,Weston-super-Mare,3.45
635,The Crossed Peels,False,-3.939151,56.118532,Scotland,Stirling,3.45
574,The Shrewsbury Hotel,False,-2.757119,52.709482,England,Shrewsbury,3.45
53,The White Hart,False,-0.809839,51.815398,England,Aylesbury,3.45
633,The Wheatsheaf,False,-1.989753,52.986782,England,Cheadle,3.45
630,The Plaza,False,-1.93489,52.757438,England,Rugeley,3.45
629,The Picture House,False,-2.115915,52.804441,England,Stafford,3.45
597,Sheffield Water Works Company,False,-1.472973,53.380267,England,Sheffield,3.45
622,The Bole Bridge,False,-1.691544,52.63314,England,Tamworth,3.45
623,The Bradley Green,False,-2.176331,53.115715,England,Biddulph,3.45
624,The Green Dragon,False,-2.02696,53.106534,England,Leek,3.45
616,The Kentish Drovers,False,-0.070012,51.473549,England,Peckham,3.45
625,The Hedgeford Lodge,False,-2.000375,52.709197,England,Hednesford,3.45
614,The Woodseats Palace,False,-1.478358,53.344149,England,Sheffield,3.45
613,The Wagon & Horses,False,-1.465563,53.461684,England,Sheffield,3.45
626,The Linford Arms,False,-2.032219,52.689474,England,Cannock,3.45
611,The Sheaf Island,False,-1.481984,53.372833,England,Sheffield,3.45
610,The Scarsdale Hundred,False,-1.349529,53.34399,England,Sheffield,3.45
59,The Draper's Arms,False,-0.246505,52.572972,England,Peterborough,3.45
608,The Rawson Spring,False,-1.500166,53.402014,England,Sheffield,3.45
60,The George Hotel,False,-0.127433,52.556164,England,Peterborough,3.45
606,The Old Market Hall,False,-1.287533,53.492769,England,Mexborough,3.45
605,The Joseph Bramah,False,-1.481735,53.552901,England,Barnsley,3.45
61,The Hippodrome,False,0.087332,52.5515,England,March,3.45
602,The Francis Newton,False,-1.492159,53.376826,England,Sheffield,3.45
65,The Wheatsheaf Inn,False,0.162965,52.663234,England,Wisbech,3.45
628,The Old Swan,False,-1.863266,52.89796,England,Uttoxeter,3.45
599,The Benjamin Huntsman,False,-1.47238,53.37997,England,Sheffield,3.45
598,The Bankers Draft,False,-1.466473,53.383182,England,Sheffield,3.45
571,Montgomery's Tower,False,-2.758646,52.709256,England,Shrewsbury,3.45
570,The Cross Keys,False,-3.188605,55.652703,Scotland,Peebles,3.45
80,The Gary Cooper,False,-0.521186,51.889702,England,Dunstable,3.45
81,Yr Hen Orsaf,False,-4.081825,52.414089,Wales,Aberystwyth,3.45
91,The Premier,False,-2.724383,53.3704,England,Widnes,3.45
539,The Roebuck Inn,False,-1.152287,52.953001,England,Nottingham,3.45
94,The Society Rooms,False,-2.057674,53.481281,England,Stalybridge,3.45
537,The Pilgrim Oak,False,-1.202491,53.038053,England,Hucknall,3.45
645,The Kings Head Hotel,False,1.563152,52.457558,England,Beccles,3.45
535,The Liquorice Gardens,False,-1.123609,53.304274,England,Worksop,3.45
534,The Last Post,False,-1.21682,52.926352,England,Beeston,3.45
96,The Unicorn,False,-2.352027,53.38416,England,Altrincham,3.45
532,The Joseph Else,False,-1.149721,52.95304,England,Nottingham,3.45
646,The Willow Tree,False,0.999027,52.185492,England,Stowmarket,3.45
530,The Free Man,False,-1.109232,52.966067,England,Nottingham,3.45
529,The Ernehale,False,-1.130417,53.001748,England,Arnold,3.45
528,The Dominie Cross,False,-0.939932,53.322392,England,Retford,3.45
527,The Butter Cross,False,-0.951655,52.952653,England,Bingham,3.45
526,The Admiral Sir John Borlase Warren,False,-1.278252,52.927625,England,Nottingham,3.45
525,Lloyds No.1 Bar,False,-1.14519,52.953599,England,Nottingham,3.45
648,The Claude du Vall,False,-0.743687,51.337192,England,Camberley,3.45
650,The George,False,-0.513366,51.433656,England,Staines-upon-Thames,3.45
652,The Jack Fairman,False,-0.161764,51.170349,England,Horley,3.45
520,The Electrical Wizard,False,-1.69083,55.166767,England,Morpeth,3.45
519,John The Clerk of Cramlington,False,-1.585128,55.086589,England,Cramlington,3.45
